Name,Address,Suburb,Postcode,Phone,Email Address,Fax,LHD,Hospital Website,ED
"Albury Wodonga Health","201 Borella Road","Albury","2640","02 6058 4444","","NULL","Albury Wodonga Health","","No emergency department"
"Armidale Rural Referral Hospital","Rusden Street","Armidale","2350","02 6776 9500","","02 6776 4774","Hunter New England Local Health District","","Reporting wait times"
"Auburn Hospital & Community Health Services","Hargrave Road","Auburn","2144","02 8759 3000","","02 9563 9666","Western Sydney Local Health District","","Reporting wait times"
"Ballina District Hospital","Cherry Street","Ballina","2478","02 6686 2111","","02 6686 6731","Northern NSW Local Health District","","Not reporting wait times"
"Balmain Hospital","29 Booth Street","Balmain","2041","02 9395 2111","","02 9395 2020","Sydney Local Health District","","No emergency department"
"Balranald District Hospital","Market Street","Balranald","2715","03 5020 1606","","03 5020 1499","Far West Local Health District","","Not reporting wait times"
"Bankstown Lidcombe Hospital","Eldridge Road","Bankstown","2200","02 9722 8000","","02 9722 8570","South Western Sydney Local Health District","","Reporting wait times"
"Baradine Multi-Purpose Service","Cnr Darling and Macquarie Street","Baradine","2396","02 6843 4100","","02 6843 1535","Western NSW Local Health District","","Not reporting wait times"
"Baradine Residential Aged Care","Corner of Darling and Macquarie Street","Baradine","2396","02 6843 1909","","NULL","Western NSW Local Health District","","No emergency department"
"Barham Koondrook Soldiers Memorial Hospital","Punt Road","Barham","2732","03 5451 1000","","03 5453 2656","Murrumbidgee Local Health District","","Not reporting wait times"
"Barraba Multi Purpose Service","Edward Street","Barraba","2347","02 6782 2500","","02 6782 1808","Hunter New England Local Health District","","Not reporting wait times"
"Barraba Residential Aged Care","Edward Street","Barraba","2347","02 6782 2507","","NULL","Hunter New England Local Health District","","No emergency department"
"Bateman's Bay District Hospital","7 Pacific Street","Batemans Bay","2536","02 4475 1500","","02 4472 0678","Southern NSW Local Health District","","Not reporting wait times"
"Bathurst Base Hospital","Howick Street","Bathurst","2795","02 6330 5311","","02 6339 5281","Western NSW Local Health District","","Reporting wait times"
"Batlow/Adelong Multi Purpose Service","61-81 Pioneer Street","Batlow","2730","02 6941 4333","","02 6941 4331","Murrumbidgee Local Health District","","Not reporting wait times"
"Batlow/Adelong Residential Aged Care","61-81 Pioneer Street","Batlow","2730","02 6941 4333","","02 6941 4331","Murrumbidgee Local Health District","","No emergency department"
"Bega District Hospital","McKee Drive","Bega","2550","02 6492 9111","","02 6492 3274","Southern NSW Local Health District","","Not reporting wait times"
"Bellingen River District Hospital","Church Street","Bellingen","2454","02 6659 5800","","02 6655 1838","Mid North Coast Local Health District","","Not reporting wait times"
"Belmont Hospital","Croudace Bay Road","Belmont","2280","02 4923 2000","","02 4923 2106","Hunter New England Local Health District","","Reporting wait times"
"Berrigan Residential Aged Care","Memorial Street","Berrigan","2712","03 5885 2208","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Berrigan War Memorial Hospital","Memorial Street","Berrigan","2712","03 5885 2208","","03 5885 2505","Murrumbidgee Local Health District","","Not reporting wait times"
"Bingara Multi Purpose Service","Keera Road","Bingara","2404","02 6728 0100","","02 6724 1708","Hunter New England Local Health District","","Not reporting wait times"
"Bingara Residential Aged Care","Keera Road","Bingara","2304","02 6728 0130","","NULL","Hunter New England Local Health District","","No emergency department"
"Blacktown Hospital","Blacktown Road","Blacktown","2148","02 9881 8000","","02 9881 8020","Western Sydney Local Health District","","Reporting wait times"
"Blayney Multi-Purpose Health Service","3 Osman Street","Blayney","2799","02 6368 9000","","02 6368 3051","Western NSW Local Health District","","Not reporting wait times"
"Blue Mountains District ANZAC Memorial Hospital","Cnr Woodlands Road and Great Western Hwy","Katoomba","2780","02 4784 6500","","02 4780 6480","Nepean Blue Mountains Local Health District","","Reporting wait times"
"Boggabri Multi-Purpose Service","Wee Waa Street","Boggabri","2382","02 6749 7000","","02 6743 4274","Hunter New England Local Health District","","Not reporting wait times"
"Boggabri Residential Aged Care","Wee Waa Street","Boggabri","2382","02 6749 7000","","NULL","Hunter New England Local Health District","","No emergency department"
"Bombala Multi Purpose Service","Wellington Street","Bombala","2632","02 6458 5777","","02 6458 3759","Southern NSW Local Health District","","Not reporting wait times"
"Bombala Residential Aged Care","Wellington Street","Bombala","2632","02 6458 5777","","NULL","Southern NSW Local Health District","","No emergency department"
"Bonalbo Hospital","Clarence Way","Bonalbo","2469","02 6665 1203","","02 6665 1116","Northern NSW Local Health District","","Not reporting wait times"
"Boorowa District Hospital","Dry Street","Boorowa","2586","02 6385 3004","","02 6385 3206","Murrumbidgee Local Health District","","Not reporting wait times"
"Boorowa Residential Aged Care","62 Dry Street","Boorowa","2586","02 6385 3004","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Bourke District Hospital","26 Tarcoon Street","Bourke","2840","02 6870 8888","","02 6872 2249","Western NSW Local Health District","","Not reporting wait times"
"Bourke Residential Aged Care","26 Tarcoon Street","Bourke","2840","02 6870 8888","","NULL","Western NSW Local Health District","","No emergency department"
"Bowral Hospital","Mona road","Bowral","2576","02 4861 0200","","02 4861 4511","South Western Sydney Local Health District","","Reporting wait times"
"Braeside Hospital","Locked Bag 82 Wetherill Park 1851<br/>340 Prairie Vale Road","Prairiewood","2176","1300 225013","","02 9756 8805","South Western Sydney Local Health District","","No emergency department"
"Braidwood Multi Purpose Service","73 Monkittee Street","Braidwood","2622","02 4842 2566","","02 4842 2054","Southern NSW Local Health District","","Not reporting wait times"
"Braidwood Residential Aged Care","73 Monkittee Street","Braidwood","2622","02 4842 2566","","NULL","Southern NSW Local Health District","","No emergency department"
"Brewarrina Multi-Purpose Service","56 Doyle Street","Brewarrina","2839","02 6830 5000","","02 6830 5055","Western NSW Local Health District","","Not reporting wait times"
"Brewarrina Residential Aged Care","56 Doyle Street","Brewarrina","2839","02 6830 5000","","NULL","Western NSW Local Health District","","No emergency department"
"Broken Hill Base Hospital","Thomas Street","Broken Hill","2880","08 8080 1333","","08 8080 1195","Far West Local Health District","","Reporting wait times"
"Bulahdelah Community Hospital","Richmond Street","Bulahdelah","2423","02 4987 9900","","02 4997 4571","Hunter New England Local Health District","","Not reporting wait times"
"Bulli Hospital","Hospital Road","Bulli","2516","02 4284 4344","","02 4283 0688","Illawarra Shoalhaven Local Health District","","Not reporting wait times"
"Byron District Hospital","Shirley & Wordsworth Sts","Byron Bay","2481","02 6685 6200","","02 6685 7521","Northern NSW Local Health District","","Not reporting wait times"
"Calvary Health Care Sydney","91-111 Rocky Point Road","Kogarah","2217","02 9553 3111","","02 9587 1421","South Eastern Sydney Local Health District","","No emergency department"
"Calvary Mater Newcastle","20 Edith Street","Waratah","2298","02 4921 1211","","NULL","Hunter New England Local Health District","","Reporting wait times"
"Camden Hospital","Menangle Road","Camden","2570","02 4634 3000","","02 4654 6010","South Western Sydney Local Health District","","Not reporting wait times"
"Campbell Hospital, Coraki","Spring Street","Coraki","2471","02 6683 2019","","02 6683 2573","Northern NSW Local Health District","","Not reporting wait times"
"Campbelltown Hospital","Therry Road","Campbelltown","2560","02 4634 3000","","02 4634 3880","South Western Sydney Local Health District","","Reporting wait times"
"Canowindra Soldiers Memorial Hospital","Browns Avenue","Canowindra","2804","02 6340 3033","","02 6344 1833","Western NSW Local Health District","","Not reporting wait times"
"Canterbury Hospital","Canterbury Road","Campsie","2194","02 9787 0000","","02 9787 0031","Sydney Local Health District","","Reporting wait times"
"Carrington Centennial Hospital","90 Werombi Road","Camden","2570","02 4659 0590","","02 4655 1984","South Western Sydney Local Health District","","No emergency department"
"Casino & District Memorial Hospital","Hotham Street","Casino","2470","02 6662 2111","","02 6662 3774","Northern NSW Local Health District","","Not reporting wait times"
"Cessnock District Hospital","24 View Street","Cessnock","2325","02 4991 0555","","02 4991 0563","Hunter New England Local Health District","","Reporting wait times"
"Cobar District Hospital","Lerida Road","Cobar","2835","02 6830 2111","","02 6843 1535","Western NSW Local Health District","","Not reporting wait times"
"Coffs Harbour Base Hospital","345 Pacific Highway","Coffs Harbour","2450","02 6656 7000","","02 6656 7010","Mid North Coast Local Health District","","Reporting wait times"
"Coledale District Hospital","636 Lawrence Hargrave Drive","Coledale","2515","02 4267 2266","","02 4267 3628","Illawarra Shoalhaven Local Health District","","No emergency department"
"Collarenebri Health Service","Walgett Street","Collarenebri","2833","02 6756 4888","","02 6756 2282","Western NSW Local Health District","","Not reporting wait times"
"Collarenebri Residential Aged Care","Walgett Street","Collarenebri","2833","02 6756 4888","","NULL","Western NSW Local Health District","","No emergency department"
"Concord Repatriation General Hospital","Hospital Rd","Concord","2139","02 9767 5000","","02 9767 6991","Sydney Local Health District","","Reporting wait times"
"Condobolin District Hospital","Madline Street","Condobolin","2877","02 6890 1500","","02 6895 2592","Western NSW Local Health District","","Not reporting wait times"
"Coolah Multi-Purpose Health Service","Martin Street","Coolah","2843","02 6377 9100","","02 6377 1536","Western NSW Local Health District","","Not reporting wait times"
"Coolah Residential Aged Care","Goddard Street","Coolah","2843","02 6377 1177","","NULL","Western NSW Local Health District","","No emergency department"
"Coolamon Residential Aged Care","Buchanan Drive","Coolamon","2701","02 6927 3303","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Coolamon-Ganmain Health Service","Buchanan Dr","Coolamon","2701","02 6927 3303","","02 6927 3565","Murrumbidgee Local Health District","","Not reporting wait times"
"Cooma Hospital & Health Service","Bent Street","Cooma","2630","02 6455 3222","","02 6452 2117","Southern NSW Local Health District","","Not reporting wait times"
"Coonabarabran District Hospital","101-103 Edwards Street","Coonabarabran","2357","02 6826 6100","","02 6842 6415","Western NSW Local Health District","","Not reporting wait times"
"Coonamble Health Service","15 Castlereagh Street","Coonamble","2829","02 6827 1100","","02 6822 1942","Western NSW Local Health District","","Not reporting wait times"
"Corowa Health Service","53 Guy Street","Corowa","2646","02 6033 7555","","02 6033 3646","Murrumbidgee Local Health District","","Not reporting wait times"
"Corowa Residential Aged Care","53 Guy Street","Corowa","2646","02 6033 7555","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Cowra District Hospital","64 Liverpool Street","Cowra","2794","02 6340 2300","","02 6340 2331","Western NSW Local Health District","","Not reporting wait times"
"Crookwell District Hospital","Kialla Road","Crookwell","2583","02 4832 1300","","02 4832 2099","Southern NSW Local Health District","","Not reporting wait times"
"Culcairn Health Service","57 Balfour Street","Culcairn","2660","02 6029 8203","","02 6029 8762","Murrumbidgee Local Health District","","Not reporting wait times"
"Culcairn Residential Aged Care","51-55 Balfour Street","Culcairn","2660","02 6029 8203","","NULL","Murrumbidgee Local Health District","","No emergency department"
"David Berry Hospital","85 Tannery Road","Berry","2535","02 4464 1001","","02 4464 1716","Illawarra Shoalhaven Local Health District","","No emergency department"
"Delegate Multi-Purpose Service","Craigie Street","Delegate","2633","02 6459 8000","","02 6458 8156","Southern NSW Local Health District","","Not reporting wait times"
"Delegate Residential Aged Care","6 Craigie Street","Delegate","2633","02 6458 8008","","NULL","Southern NSW Local Health District","","No emergency department"
"Deniliquin Hospital","411 Charlotte Street","Deniliquin","2710","03 5882 2800","","02 5882 2815","Murrumbidgee Local Health District","","Not reporting wait times"
"Denman Multi Purpose Service","51-53 Ogilvie St","Denman","2328","02 6547 3999","","02 6547 2822","Hunter New England Local Health District","","Not reporting wait times"
"Denman Residential Aged Care","51-53 Ogilvie St","Denman","2328","02 6547 3999","","NULL","Hunter New England Local Health District","","No emergency department"
"Dorrigo Multi-Purpose Service","Beech Street","Dorrigo","2453","02 6692 7700","","02 6657 2577","Mid North Coast Local Health District","","Not reporting wait times"
"Dorrigo Residential Aged Care","Beech Street","Dorrigo","2453","02 6692 7700","","NULL","Mid North Coast Local Health District","","No emergency department"
"Dubbo Base Hospital","Myall Street","Dubbo","2830","02 6809 6809","","02 6882 9034","Western NSW Local Health District","","Reporting wait times"
"Dunedoo Health Service","Digilah Street","Dunedoo","2844","02 6375 1408","","02 6375 1221","Western NSW Local Health District","","Not reporting wait times"
"Dunedoo Residential Aged Care","Digilah Street","Dunedoo","2844","02 6375 1408","","NULL","Western NSW Local Health District","","No emergency department"
"Dungog Community Hospital","22 Hospital Road","Dungog","2420","02 4995 7000","","02 4995 7005","Hunter New England Local Health District","","Not reporting wait times"
"Emmaville - Vegetable Creek Residential Aged Care","13-33 Glen Inns Road","Emmaville","2371","02 6734 7900","","NULL","Hunter New England Local Health District","","No emergency department"
"Eugowra Memorial Multi Purpose Service","Hill Street","Eugowra","2806","02 6850 4000","","02 6859 2483","Western NSW Local Health District","","Not reporting wait times"
"Fairfield Hospital","Cnr Polding Street & Prairievale Road","Fairfield","2165","02 9616 8111","","02 9616 8855","South Western Sydney Local Health District","","Reporting wait times"
"Finley Hospital & Community Health Centre","Dawe Avenue","Finley","2713","03 5883 1133","","03 5883 1457","Murrumbidgee Local Health District","","Not reporting wait times"
"Forbes District Hospital","Elgin Street","Forbes","2871","02 6850 2000","","02 6852 3078","Western NSW Local Health District","","Not reporting wait times"
"Garrawarra Centre for Aged Care","Princes Highway","Waterfall","2233","02 9548 4700","","02 9520 7133","South Eastern Sydney Local Health District","","No emergency department"
"Gilgandra Multi-Purpose Health Service","Chelmsford Avenue","Gilgandra","2827","02 6880 5900","","02 6847 2754","Western NSW Local Health District","","Not reporting wait times"
"Gilgandra Residential Aged Care","Chelmsford Avenue","Gilgandra","2827","02 6847 2366","","NULL","Western NSW Local Health District","","No emergency department"
"Glen Innes District Hospital","94 Taylor Street","Glen Innes","2370","02 6739 0200","","02 6739 0143","Hunter New England Local Health District","","Not reporting wait times"
"Gloucester Soldiers Memorial - Nursing Home Unit","Hay Street","Gloucester","2422","02 6538 5047","","NULL","Hunter New England Local Health District","","No emergency department"
"Gloucester Soldiers Memorial Hospital","Church Street","Gloucester","2422","02 6538 5000","","02 6558 2218","Hunter New England Local Health District","","Not reporting wait times"
"Gosford Hospital","Holden Street","Gosford","2250","02 4320 2111","","02 4325 0566","Central Coast Local Health District","","Reporting wait times"
"Goulburn Base Hospital","130 Goldsmith Street","Goulburn","2580","02 4827 3111","","02 4827 3248","Southern NSW Local Health District","","Reporting wait times"
"Governor Phillip Residential Aged Care Facility","Glebe Place","Penrith","2750","02 4734 2000","","NULL","Nepean Blue Mountains Local Health District","","No emergency department"
"Gower Wilson - Multi-Purpose Service","Lord Howe Island","Lord Howe Island","2898","02 6563 2000","","NULL","South Eastern Sydney Local Health District","","No emergency department"
"Grafton Base Hospital","Arthur Street","Grafton","2460","02 6640 2222","","02 6640 2444","Northern NSW Local Health District","","Reporting wait times"
"Greenwich Hospital","River Road","Greenwich","2065","02 9903 8305","NULL","02 9903 8299","Northern Sydney Local Health District","","No emergency department"
"Grenfell Multi-Purpose Service","Sullivan Street","Grenfell","2810","02 6349 1700","","02 6342 3145","Western NSW Local Health District","","Not reporting wait times"
"Grenfell Residential Aged Care","Sullivan Street","Grenfell","2810","02 6349 1700","","NULL","Western NSW Local Health District","","No emergency department"
"Griffith Base Hospital","Warrambool Street","Griffith","2680","02 6969 5555","","02 6969 5517","Murrumbidgee Local Health District","","Reporting wait times"
"Gulargambone Multi-Purpose Service","Bourbah Street","Gulargambone","2828","02 6825 1201","","02 6825 1107","Western NSW Local Health District","","Not reporting wait times"
"Gulargambone Residential Age Care","Bourbah Street","Gulargambone","2828","02 6825 1201","","NULL","Western NSW Local Health District","","No emergency department"
"Gundagai District Hospital","O'Hagen Street","Gundagai","2722","02 6944 1022","","02 6944 1630","Murrumbidgee Local Health District","","Not reporting wait times"
"Gunnedah District Hospital","Marquis Street","Gunnedah","2380","02 6741 8000","","02 6740 2881","Hunter New England Local Health District","","Reporting wait times"
"Guyra Multi Purpose Service","44-48 Sole Street","Guyra","2365","02 6738 4000","","02 6779 1579","Hunter New England Local Health District","","Not reporting wait times"
"Guyra Residential Aged Care","48 Sole Street","Guyra","2365","02 6738 4000","","NULL","Hunter New England Local Health District","","No emergency department"
"Hay District Hospital","351 Murray Street","Hay","2711","02 6990 8700","","02 6990 8771","Murrumbidgee Local Health District","","Not reporting wait times"
"Hay Residential Age Care","351 Murray Street","Hay","2711","02 6990 8700","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Henty Hospital","Henty Community Health Centre, Ivor Street","Henty","2658","02 6929 4999","","02 6929 3503","Murrumbidgee Local Health District","","Not reporting wait times"
"Henty Residential Aged Care","7 Keighran Street","Henty","2658","02 6929 4999","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Hillston District Hospital","Burns Street","Hillston","2675","02 6961 7200","","02 6961 7291","Murrumbidgee Local Health District","","Not reporting wait times"
"Holbrook District Hospital","Bowler Street","Holbrook","2644","02 6036 2522","","02 6036 2782","Murrumbidgee Local Health District","","Not reporting wait times"
"Holbrook Residential Aged Care","Bowler Street","Holbrook","2644","02 6036 2522","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Hornsby Ku-ring-gai Hospital","Palmerston Rd","Hornsby","2077","02 9477 9123","","02 9477 2005","Northern Sydney Local Health District","","Reporting wait times"
"Inverell District Hospital","41 Swanbrook Rd","Inverell","2360","02 6721 9500","","02 6721 9567","Hunter New England Local Health District","","Reporting wait times"
"Jerilderie Health Service","Newell Highway","Jerilderie","2716","03 5886 1300","","03 5886 1277","Murrumbidgee Local Health District","","Not reporting wait times"
"Jerilderie Residential Aged Care","Corner of South Coree Road and West Street","Jerilderie","2716","03 5886 1300","","NULL","Murrumbidgee Local Health District","","No emergency department"
"John Hunter Hospital (including Royal Newcastle Centre and John Hunter Children's Hospital)","Lookout Road","New Lambton Heights","2305","02 4921 3000","","02 4921 3999","Hunter New England Local Health District","","Reporting wait times"
"Junee District Hospital","67 Broadway Street","Junee","2663","02 6924 8200 ","","02 6924 2485","Murrumbidgee Local Health District","","Not reporting wait times"
"Junee Residential Aged Care","24-28 Commins Street","Junee","2663","02 6924 1122","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Kempsey District Hospital","119 River Street","Kempsey","2440","02 6562 6155","","02 6563 1557","Mid North Coast Local Health District","","Reporting wait times"
"Kiama Hospital and Community Health Service","Bonaira Street","Kiama","2533","02 4233 1033","","02 4232 1005","Illawarra Shoalhaven Local Health District","","No emergency department"
"Kiama Hospital Nursing Home","Bonaire Street","Kiama","2533","02 4233 1033","","NULL","Illawarra Shoalhaven Local Health District","","No emergency department"
"Kimbarra Lodge Hostel - Gloucester Soldiers Memorial Hospital","Hay Street","Gloucester","2422","02 6558 1307","","NULL","Hunter New England Local Health District","","No emergency department"
"Kurri Kurri Hospital","Lang Street","Kurri Kurri","2327","02 4936 3200","","02 4936 3239","Hunter New England Local Health District","","Not reporting wait times"
"Kyogle Memorial Hospital","Summerland Way","Kyogle","2474","02 6632 1522","","02 6632 2237","Northern NSW Local Health District","","Not reporting wait times"
"Kyogle Residential Age Care","Summerland Way","Kyogle","2474","02 6632 1522","","NULL","Northern NSW Local Health District","","No emergency department"
"Lake Cargelligo District Hospital","Uabba Street","Lake Cargelligo","2672","02 6898 1200","","02 6898 1244","Murrumbidgee Local Health District","","Not reporting wait times"
"Lake Cargelligo Residential Aged Care","Uabba Street","Lake Cargelligo","2672","02 6898 1200","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Leeton District Hospital","Wade Avenue & Palm Avenue","Leeton","2705","02 6953 1111","","02 6953 4891","Murrumbidgee Local Health District","","Not reporting wait times"
"Leeton Residential Age Care","Cnr Palm Avenue & Wade Avenue","Leeton","2705","02 6953 1111","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Lightning Ridge Multi Purpose Health Service","20 Pandora Street","Lightning Ridge","2834","02 6829 9999","","02 6829 9992","Western NSW Local Health District","","Not reporting wait times"
"Lightning Ridge Residential Aged Care","20 Pandora Street","Lightning Ridge","2834","02 6829 9999","","NULL","Western NSW Local Health District","","No emergency department"
"Lismore Base Hospital","Uralba Street","Lismore","2480","02 6621 8000","","02 6621 7088","Northern NSW Local Health District","","Reporting wait times"
"Lithgow Integrated Health Service","Col Drewe Drive","Lithgow","2790","02 6350 2300","","02 6350 2336","Nepean Blue Mountains Local Health District","","Reporting wait times"
"Liverpool Hospital","Cnr Elizabeth & Goulburn Street","Liverpool","2170","02 8738 3000","","02 9828 6318","South Western Sydney Local Health District","","Reporting wait times"
"Lockhart & District Hospital","Hebden Street","Lockhart","2656","02 6920 5206","","02 6920 5483","Murrumbidgee Local Health District","","Not reporting wait times"
"Long Jetty Health Care Facility","Wyong Road","Killarney Vale","2261","02 4336 7700","","02 4336 7750","Central Coast Local Health District","","No emergency department"
"Lottie Stewart Hospital and Aged Care","40 Stewart Street","Dundas","2117","02 9858 3255","","02 9858 1585","Western Sydney Local Health District","","No emergency department"
"Macksville District Hospital","Boundary Street","Macksville","2447","02 6568 0666","","02 6568 2677","Mid North Coast Local Health District","","Not reporting wait times"
"Maclean District Hospital","21 Union Street","Maclean","2463","02 6640 0111","","02 6645 2252","Northern NSW Local Health District","","Not reporting wait times"
"Manilla Health Service","Court Street","Manilla","2346","02 6785 4000","","02 6785 1490","Hunter New England Local Health District","","Not reporting wait times"
"Manly Hospital","Darley Road","Manly","2095","02 9976 9611","","02 9977 8907","Northern Sydney Local Health District","","No emergency department"
"Manning Rural Referral Hospital (Taree)","26 York Street","Taree","2430","02 6592 9111","","02 6551 7135","Hunter New England Local Health District","","Reporting wait times"
"Mercy Care Hospital - Young","69 Demondrille Street","Young","2594","02 6382 8888","","02 6382 8400","Murrumbidgee Local Health District","","No emergency department"
"Mercy Health Service","Poole Street","Albury","2640","02 6021 3322","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Mercy Health Service Albury Residential Aged Care","Poole Street","Albury","2640","02 6021 3322","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Merriwa Multi Purpose Service","60 McKenzie Street","Merriwa","2329","02 6532 5000","","02 6548 2527","Hunter New England Local Health District","","Not reporting wait times"
"Merriwa Residential Aged Care","60 McKenzie Street","Merriwa","2329","02 6548 2006","","NULL","Hunter New England Local Health District","","No emergency department"
"Milton Ulladulla Hospital","106 Princes Highway","Milton","2538","02 4455 1333","","02 4454 9140","Illawarra Shoalhaven Local Health District","","Reporting wait times"
"Molong Health Service","King Street","Molong","2866","02 6392 3300","","02 6366 8750","Western NSW Local Health District","","Not reporting wait times"
"Mona Vale Hospital","Coronation Street","Mona Vale","2103","02 9998 0333","","02 9997 7079","Northern Sydney Local Health District","","Not reporting wait times"
"Moree District Hospital","Alice Street","Moree","2400","02 6757 0000","","02 6757 3625","Hunter New England Local Health District","","Reporting wait times"
"Moruya District Hospital","River Street","Moruya","2537","02 4474 2666","","02 4474 1586","Southern NSW Local Health District","","Not reporting wait times"
"Mount Druitt Hospital","75 Railway St","Mount Druitt","2770","02 9881 1555","","02 9881 1538","Western Sydney Local Health District","","Reporting wait times"
"Mudgee Health Service","Meares Street","Mudgee","2850","02 6378 6222","","02 6372 3587","Western NSW Local Health District","","Not reporting wait times"
"Mullumbimby & District War Memorial Hospital","Azalea Street","Mullumbimby","2482","02 6684 2266","","02 6684 1217","Northern NSW Local Health District","","Not reporting wait times"
"Murrumburah-Harden Residential Aged Care","Swift Street","Harden","2587","02 6386 2200","","NULL","Murrumbidgee Local Health District","","No emergency department"
"Murrumburrah-Harden District Hospital","Swift Street","Harden","2587","02 6386 2200","","02 6386 2931","Murrumbidgee Local Health District","","Not reporting wait times"
"Murwillumbah District Hospital","Ewing Street","Murwillumbah","2484","02 6672 1822","","02 6672 0299","Northern NSW Local Health District","","Reporting wait times"
